SAMPLES,STRUCTURE,INTERCEPT,TOPIC_1,TOPIC_2,SIGMA,TP,FP,TN,FN,PRECISION,RECALL,F1,ACCURACY
5000,STG,-0.0453246531837861,-0.8417482715760068,0.9977313667402068,0.21434838423729366,3,0,2,0,1,1,1,1
5000,IFG,0.2264912867701379,0.9487044065294191,-0.6930792529781813,0.254852290032118,2,3,0,0,0.4,1,0.5714285714285714,0.4
7500,STG,-0.4898161768880514,-0.5099037208015811,0.9081477215226353,0.20878150114305244,3,0,2,0,1,1,1,1
7500,IFG,0.9651541391453314,-0.2498854530435644,-0.8903689565979307,0.4488838456419009,0,0,3,2,NaN,0,NaN,0.6
10000,STG,-0.38162860493526835,-0.9387768022479295,0.9732918335408731,0.31362539540133766,3,0,2,0,1,1,1,1
10000,IFG,-0.9362197669654132,0.6551832779143577,-0.9947559222803761,0.2810301953869725,2,0,3,0,1,1,1,1
1,STG,-0.5335666719216898,-0.7414889190912352,0.6620818628984879,1.9373255142434203,2,0,2,1,1,0.6666666666666666,0.8,0.8
1,IFG,0.5689986860002927,0.22620203437238962,-0.48421017573001546,0.7044202866555471,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,-0.13911837177252417,-0.6416164029723402,0.382402231448,1.7817115495834712,3,0,2,0,1,1,1,1
5,IFG,0.45636910725461244,-0.7313938581369852,-0.2713525253620732,1.7887726117205058,0,3,0,2,0,0,0,0
10,STG,-0.3095785402259283,-0.9883984520838844,0.05735207636588502,1.3701487571160005,0,0,2,3,NaN,0,NaN,0.4
10,IFG,0.00978684162091445,-0.029385107315873602,0.6475778781574987,1.1483770987772997,2,3,0,0,0.4,1,0.5714285714285714,0.4
50,STG,0.32889022640458687,-0.8042468020219786,-0.7274156319035977,0.42588574278990726,0,0,2,3,NaN,0,NaN,0.4
50,IFG,-0.6037738458048574,0.7378146514041364,0.930506836317215,1.6945804458538953,2,3,0,0,0.4,1,0.5714285714285714,0.4
100,STG,0.29832658636913,-0.8720205439414044,-0.0454103456560522,0.6432718854640358,3,0,2,0,1,1,1,1
100,IFG,-0.32237874491403895,0.728103175441831,0.20756850136244814,0.5110953076537429,2,0,3,0,1,1,1,1
500,STG,0.8455378880056617,-0.9259456117299179,0.9688116999353642,0.2794214776903303,3,2,0,0,0.6,1,0.7499999999999999,0.6
500,IFG,-0.15743572001797027,0.5169235451579912,-0.18375597998839524,0.26720801892924423,0,0,3,2,NaN,0,NaN,0.6
1000,STG,-0.2651408914371897,-0.7172597035730526,0.9485997928207537,0.3007585508481736,3,0,2,0,1,1,1,1
1000,IFG,0.1784938723557572,0.10104766743008807,0.19244531902544354,0.3766306228318946,2,3,0,0,0.4,1,0.5714285714285714,0.4
2500,STG,0.6797630352310093,-0.8014773649269592,0.9991490029010137,0.6253338090588092,3,1,1,0,0.75,1,0.8571428571428572,0.8
2500,IFG,-0.6894529264526467,0.870903903038076,-0.5484239641874789,0.38183206895832666,2,0,3,0,1,1,1,1
5000,STG,0.08744074581610342,0.26901374031309944,0.9540930672729755,0.30259814683326347,0,2,0,3,0,0,0,0
5000,IFG,-0.9795316664194567,-0.9966789014127495,0.8989454761566733,1.128956423917279,2,3,0,0,0.4,1,0.5714285714285714,0.4
